course_code,courses,year,sem,credits,course_description,pname,plink,
MA1101,Maths-1,1,1,5,"This course covers fundamental concepts of calculus, including differentiation and integration, and their applications. It also introduces ordinary differential equations (ODE) and methods for solving them.",Mahipal Jetta,https://www.mahindrauniversity.edu.in/faculty/mahipal-j/,
CH1101,Chemistry-1,1,1,4,"An introduction to chemical principles, including atomic structure, bonding, and reactions. Lab sessions focus on experiments to reinforce theoretical knowledge.",N.V.Venkatraman,https://www.mahindrauniversity.edu.in/faculty/n-v-venkataraman/,
EE1103,Intro to Electrical Engineering,1,1,2,"Basics of electrical circuits, components, and analysis techniques. The lab provides hands-on experience with circuit design and testing.",Aditya Abburi,https://www.mahindrauniversity.edu.in/faculty/dr-aditya-abburi/,
EE1105,Electronics,1,1,2,"Study of electronic devices, such as diodes and transistors, and their applications in circuits. Lab work includes constructing and analyzing electronic circuits.",Pooran Singh,https://www.mahindrauniversity.edu.in/faculty/pooran-singh/,
ME1104,Engineering Drawing,1,1,1.5,Introduction to technical drawing and drafting techniques used in engineering. Emphasizes creating and interpreting engineering diagrams and blueprints.,Pulla Kondiah,https://www.mahindrauniversity.edu.in/faculty/kondaiah-pulla/,
ME1103,Mechanics,1,1,3,"Fundamental principles of mechanics, including statics and dynamics, and their applications in engineering. Topics include force systems, equilibrium, and kinematics.",Fiaz Iqbal,,
HS1102,Media Project,1,1,1.5,"Practical course focused on media production, covering aspects like video editing, sound design, and content creation. Students work on projects to develop technical and creative skills.",Raj Narayan,https://www.mahindrauniversity.edu.in/faculty/raj-narayanan/,
HS1101,English,1,1,3,"Course designed to improve proficiency in English, with a focus on grammar, composition, and communication skills. Enhances both written and spoken English abilities.",Pankaj Narke,https://www.mahindrauniversity.edu.in/faculty/pankaj-narke/,
HS1104,Intro to Entrepreneurship,1,1,1,"Explores the basics of starting and running a business, including idea generation, business planning, and market analysis. Encourages innovation and entrepreneurial thinking.",Raj Kumar Phatate,https://www.mahindrauniversity.edu.in/faculty/rajkumar-phatate/,
HS1103,French,1,1,0.5,"Introductory course to French language, covering basic grammar, vocabulary, and conversational skills. Aims to develop foundational language proficiency.",Kumudham Balasubramanian,https://www.mahindrauniversity.edu.in/faculty/kumudham-balasubramanian/,
MA1202,Maths-2,1,2,4,"Studies matrix theory, vector spaces, linear transformations, and functions of a complex variable, including differentiation and integration of complex functions.",Rakhee Basu,https://www.mahindrauniversity.edu.in/faculty/rakhee-basu/,
PH1201,Physics-1,1,2,4,"Covers fundamental principles of mechanics, waves, and thermodynamics, with practical experiments to reinforce theoretical concepts.",Jayasri D,https://www.mahindrauniversity.edu.in/faculty/jayasri-dontabhaktuni/,
AI1204,Biology,1,2,3,"Provides an overview of cellular structure, genetics, evolution, and ecological principles, focusing on the molecular and physiological processes of life.",Prakash Arun N,https://www.mahindrauniversity.edu.in/faculty/dr-prakash-arun-nemade/,
CS1201,Intro to Computing,1,2,4,"Introduces basic programming concepts, data structures, algorithms, and computer organization, with hands-on lab sessions.",Om Prakash Patel,https://www.mahindrauniversity.edu.in/faculty/om-prakash-patel/,
